monthly_revenue,average_balance,daily_transaction_spikes,shop_type,merchant_category,is_approved
166.5,264000.0,2,330000.0,2,0
168.0,40000.0,1,50000.0,1,0
169.5,224000.0,1,280000.0,1,0
171.0,80000.0,2,100000.0,2,0
172.5,40000.0,1,50000.0,1,0
174.0,24000.0,1,30000.0,1,1
175.5,192000.0,1,240000.0,1,0
177.0,64000.0,1,80000.0,1,1
178.5,320000.0,1,400000.0,1,0
180.0,192000.0,2,240000.0,2,0
181.5,40000.0,1,50000.0,1,1
183.0,360000.0,1,450000.0,1,1
184.5,88000.0,2,110000.0,2,0
186.0,248000.0,2,310000.0,2,1
187.5,16000.0,1,20000.0,1,0
189.0,16000.0,1,20000.0,1,0
190.5,160000.0,1,200000.0,1,0
192.0,144000.0,1,180000.0,1,1
193.5,40000.0,1,50000.0,1,1
195.0,48000.0,1,60000.0,1,0
196.5,24000.0,2,30000.0,2,0
198.0,192000.0,1,240000.0,1,0
199.5,336000.0,1,420000.0,1,0
201.0,264000.0,1,330000.0,1,0
202.5,24000.0,2,30000.0,2,0
204.0,192000.0,1,240000.0,1,0
205.5,120000.0,1,150000.0,1,0
207.0,168000.0,2,210000.0,2,0
208.5,40000.0,2,50000.0,2,1
210.0,40000.0,1,50000.0,1,0
211.5,192000.0,1,240000.0,1,1
213.0,144000.0,1,180000.0,1,0
214.5,40000.0,1,50000.0,1,0
216.0,136000.0,1,170000.0,1,0
217.5,16000.0,1,20000.0,1,0
219.0,40000.0,1,50000.0,1,0
220.5,136000.0,2,170000.0,2,1
222.0,160000.0,1,200000.0,1,0
223.5,64000.0,2,80000.0,2,0
225.0,208000.0,2,260000.0,2,0
226.5,112000.0,1,140000.0,1,0
228.0,64000.0,1,80000.0,1,0
229.5,280000.0,1,350000.0,1,0
231.0,224000.0,2,280000.0,2,0
232.5,24000.0,2,30000.0,2,0
234.0,112000.0,1,140000.0,1,0
235.5,160000.0,2,200000.0,2,0
237.0,160000.0,2,200000.0,2,0
238.5,168000.0,1,210000.0,1,1
240.0,40000.0,1,50000.0,1,0
241.5,24000.0,1,30000.0,1,0
243.0,40000.0,1,50000.0,1,0
244.5,232000.0,1,290000.0,1,0
246.0,200000.0,2,250000.0,2,0
247.5,48000.0,2,60000.0,2,0
249.0,88000.0,2,110000.0,2,0
250.5,296000.0,1,370000.0,1,0
252.0,80000.0,1,100000.0,1,0
253.5,72000.0,2,90000.0,2,0
255.0,40000.0,2,50000.0,2,0
256.5,216000.0,1,270000.0,1,0
258.0,240000.0,2,300000.0,2,0
259.5,40000.0,2,50000.0,2,0
261.0,40000.0,2,50000.0,2,1
262.5,288000.0,1,360000.0,1,0
264.0,104000.0,1,130000.0,1,1
265.5,64000.0,1,80000.0,1,0
267.0,40000.0,1,50000.0,1,0
268.5,16000.0,2,20000.0,2,0
270.0,64000.0,2,80000.0,2,0
271.5,192000.0,1,240000.0,1,0
273.0,64000.0,2,80000.0,2,0
274.5,400000.0,2,500000.0,2,0
276.0,48000.0,2,60000.0,2,1
277.5,16000.0,1,20000.0,1,0
279.0,80000.0,2,100000.0,2,1
280.5,288000.0,2,360000.0,2,0
282.0,160000.0,2,200000.0,2,1
283.5,104000.0,2,130000.0,2,0
285.0,16000.0,2,20000.0,2,0
286.5,248000.0,1,310000.0,1,0
288.0,48000.0,2,60000.0,2,1
289.5,144000.0,2,180000.0,2,0
291.0,144000.0,2,180000.0,2,0
292.5,40000.0,1,50000.0,1,0
294.0,40000.0,2,50000.0,2,1
295.5,120000.0,2,150000.0,2,0
297.0,16000.0,2,20000.0,2,0
298.5,400000.0,2,500000.0,2,0
300.0,24000.0,2,30000.0,2,1
301.5,144000.0,2,180000.0,2,0
303.0,112000.0,1,140000.0,1,0
304.5,112000.0,2,140000.0,2,0
306.0,96000.0,1,120000.0,1,0
307.5,288000.0,2,360000.0,2,0
309.0,16000.0,1,20000.0,1,0
310.5,80000.0,1,100000.0,1,0
312.0,168000.0,2,210000.0,2,1
313.5,64000.0,2,80000.0,2,1
315.0,264000.0,2,330000.0,2,0
316.5,176000.0,1,220000.0,1,0
318.0,168000.0,2,210000.0,2,1
319.5,32000.0,2,40000.0,2,0
321.0,24000.0,1,30000.0,1,0
322.5,376000.0,1,470000.0,1,0
324.0,24000.0,1,30000.0,1,0
325.5,192000.0,2,240000.0,2,1
327.0,64000.0,1,80000.0,1,0
328.5,88000.0,2,110000.0,2,0
330.0,248000.0,2,310000.0,2,0
331.5,288000.0,2,360000.0,2,1
333.0,264000.0,2,330000.0,2,0
334.5,240000.0,2,300000.0,2,0
336.0,256000.0,2,320000.0,2,0
337.5,40000.0,2,50000.0,2,1
339.0,136000.0,2,170000.0,2,0
340.5,280000.0,1,350000.0,1,0
342.0,16000.0,1,20000.0,1,0
343.5,40000.0,1,50000.0,1,1
345.0,16000.0,2,20000.0,2,0
346.5,40000.0,2,50000.0,2,0
348.0,16000.0,1,20000.0,1,1
349.5,40000.0,1,50000.0,1,0
351.0,152000.0,1,190000.0,1,1
352.5,48000.0,2,60000.0,2,0
354.0,64000.0,1,80000.0,1,0
355.5,120000.0,2,150000.0,2,0
357.0,168000.0,2,210000.0,2,0
358.5,192000.0,2,240000.0,2,1
360.0,112000.0,2,140000.0,2,1
361.5,48000.0,2,60000.0,2,0
363.0,40000.0,1,50000.0,1,0
364.5,40000.0,2,50000.0,2,0
366.0,144000.0,2,180000.0,2,0
367.5,24000.0,2,30000.0,2,0
369.0,16000.0,2,20000.0,2,0
370.5,200000.0,2,250000.0,2,0
372.0,80000.0,2,100000.0,2,0
373.5,264000.0,1,330000.0,1,0
375.0,40000.0,1,50000.0,1,0
376.5,40000.0,2,50000.0,2,0
378.0,24000.0,1,30000.0,1,0
379.5,112000.0,2,140000.0,2,1
381.0,128000.0,2,160000.0,2,0
382.5,320000.0,2,400000.0,2,0
384.0,40000.0,1,50000.0,1,0
385.5,112000.0,2,140000.0,2,0
387.0,128000.0,2,160000.0,2,0
388.5,80000.0,2,100000.0,2,0
390.0,176000.0,1,220000.0,1,1
391.5,408000.0,2,510000.0,2,0
393.0,40000.0,1,50000.0,1,0
394.5,128000.0,2,160000.0,2,0
396.0,184000.0,2,230000.0,2,0
397.5,64000.0,2,80000.0,2,0
399.0,120000.0,2,150000.0,2,0
400.5,8000.0,1,10000.0,1,0
402.0,104000.0,2,130000.0,2,1
403.5,32000.0,2,40000.0,2,0
405.0,40000.0,1,50000.0,1,1
406.5,80000.0,1,100000.0,1,0
408.0,96000.0,1,120000.0,1,0
409.5,208000.0,2,260000.0,2,1
411.0,160000.0,2,200000.0,2,0
412.5,288000.0,2,360000.0,2,1
414.0,56000.0,2,70000.0,2,0
415.5,368000.0,1,460000.0,1,1
417.0,40000.0,2,50000.0,2,0
418.5,40000.0,1,50000.0,1,0
420.0,200000.0,2,250000.0,2,0
421.5,24000.0,2,30000.0,2,0
423.0,216000.0,1,270000.0,1,0
424.5,144000.0,2,180000.0,2,0
426.0,80000.0,2,100000.0,2,0
427.5,184000.0,2,230000.0,2,0
429.0,168000.0,2,210000.0,2,0
430.5,168000.0,1,210000.0,1,0
432.0,352000.0,2,440000.0,2,0
433.5,80000.0,2,100000.0,2,1
435.0,192000.0,2,240000.0,2,0
436.5,224000.0,1,280000.0,1,1
438.0,40000.0,2,50000.0,2,1
439.5,24000.0,1,30000.0,1,0
441.0,8000.0,1,10000.0,1,1
442.5,104000.0,1,130000.0,1,0
444.0,160000.0,1,200000.0,1,0
445.5,96000.0,2,120000.0,2,0
447.0,168000.0,2,210000.0,2,0
448.5,224000.0,2,280000.0,2,0
450.0,240000.0,1,300000.0,1,1
451.5,80000.0,1,100000.0,1,0
453.0,352000.0,2,440000.0,2,0
454.5,40000.0,2,50000.0,2,0
456.0,16000.0,2,20000.0,2,1
457.5,160000.0,2,200000.0,2,0
459.0,88000.0,2,110000.0,2,0
460.5,400000.0,2,500000.0,2,0
462.0,240000.0,2,300000.0,2,0
463.5,24000.0,1,30000.0,1,1
465.0,48000.0,2,60000.0,2,0
466.5,320000.0,2,400000.0,2,0
468.0,144000.0,2,180000.0,2,0
469.5,16000.0,1,20000.0,1,0
471.0,160000.0,2,200000.0,2,1
472.5,80000.0,1,100000.0,1,0
474.0,48000.0,1,60000.0,1,1
475.5,88000.0,2,110000.0,2,0
477.0,208000.0,2,260000.0,2,0
478.5,40000.0,2,50000.0,2,0
480.0,144000.0,1,180000.0,1,0
481.5,88000.0,1,110000.0,1,1
483.0,272000.0,2,340000.0,2,0
484.5,40000.0,1,50000.0,1,0
486.0,184000.0,2,230000.0,2,1
487.5,288000.0,2,360000.0,2,0
489.0,168000.0,1,210000.0,1,0
490.5,176000.0,2,220000.0,2,1
492.0,48000.0,2,60000.0,2,1
493.5,272000.0,1,340000.0,1,0
495.0,120000.0,1,150000.0,1,0
496.5,160000.0,2,200000.0,2,1
498.0,104000.0,2,130000.0,2,1
499.5,48000.0,2,60000.0,2,0
501.0,320000.0,2,400000.0,2,0
502.5,16000.0,1,20000.0,1,0
504.0,152000.0,2,190000.0,2,0
505.5,208000.0,2,260000.0,2,0
507.0,112000.0,2,140000.0,2,0
508.5,40000.0,2,50000.0,2,1
510.0,96000.0,2,120000.0,2,0
511.5,192000.0,2,240000.0,2,0
513.0,40000.0,1,50000.0,1,0
514.5,160000.0,2,200000.0,2,0
516.0,144000.0,1,180000.0,1,0
517.5,144000.0,2,180000.0,2,0
519.0,128000.0,2,160000.0,2,0
520.5,80000.0,2,100000.0,2,0
522.0,40000.0,2,50000.0,2,1
523.5,112000.0,2,140000.0,2,0
525.0,24000.0,2,30000.0,2,1
526.5,72000.0,1,90000.0,1,0
528.0,160000.0,1,200000.0,1,0
529.5,304000.0,1,380000.0,1,1
531.0,64000.0,2,80000.0,2,0
532.5,40000.0,1,50000.0,1,0
534.0,144000.0,1,180000.0,1,1
535.5,192000.0,2,240000.0,2,0
537.0,304000.0,1,380000.0,1,0
538.5,88000.0,2,110000.0,2,0
540.0,208000.0,1,260000.0,1,0
541.5,400000.0,2,500000.0,2,1
543.0,256000.0,2,320000.0,2,0
544.5,40000.0,1,50000.0,1,0
546.0,88000.0,1,110000.0,1,1
547.5,184000.0,2,230000.0,2,0
549.0,264000.0,2,330000.0,2,0
550.5,40000.0,2,50000.0,2,0
552.0,8000.0,1,10000.0,1,0
553.5,240000.0,1,300000.0,1,0
555.0,16000.0,2,20000.0,2,1
556.5,144000.0,1,180000.0,1,1
558.0,128000.0,1,160000.0,1,0
559.5,72000.0,2,90000.0,2,0
561.0,24000.0,1,30000.0,1,0
562.5,144000.0,1,180000.0,1,0
564.0,24000.0,1,30000.0,1,0
565.5,24000.0,1,30000.0,1,0
567.0,112000.0,2,140000.0,2,0
568.5,168000.0,1,210000.0,1,0
570.0,40000.0,1,50000.0,1,1
571.5,104000.0,2,130000.0,2,0
573.0,40000.0,2,50000.0,2,1
574.5,112000.0,1,140000.0,1,0
576.0,136000.0,2,170000.0,2,1
577.5,64000.0,1,80000.0,1,0
579.0,328000.0,2,410000.0,2,0
580.5,64000.0,2,80000.0,2,0
582.0,64000.0,1,80000.0,1,1
583.5,120000.0,1,150000.0,1,0
585.0,208000.0,1,260000.0,1,1
586.5,280000.0,1,350000.0,1,0
588.0,224000.0,2,280000.0,2,1
589.5,248000.0,1,310000.0,1,0
591.0,112000.0,2,140000.0,2,0
592.5,288000.0,1,360000.0,1,0
594.0,112000.0,2,140000.0,2,0
595.5,80000.0,1,100000.0,1,0
597.0,40000.0,2,50000.0,2,0
598.5,168000.0,2,210000.0,2,0
600.0,96000.0,2,120000.0,2,0
601.5,192000.0,1,240000.0,1,0
603.0,48000.0,2,60000.0,2,0
604.5,120000.0,1,150000.0,1,1
606.0,24000.0,1,30000.0,1,0
607.5,128000.0,2,160000.0,2,1
609.0,160000.0,1,200000.0,1,0
610.5,96000.0,2,120000.0,2,0
612.0,400000.0,1,500000.0,1,0
613.5,256000.0,2,320000.0,2,0
615.0,224000.0,1,280000.0,1,0
616.5,48000.0,2,60000.0,2,1
618.0,160000.0,2,200000.0,2,0
619.5,184000.0,2,230000.0,2,0
621.0,184000.0,2,230000.0,2,1
622.5,384000.0,2,480000.0,2,0
624.0,40000.0,2,50000.0,2,0
625.5,160000.0,2,200000.0,2,0
627.0,40000.0,2,50000.0,2,0
628.5,40000.0,1,50000.0,1,0
630.0,208000.0,2,260000.0,2,1
631.5,24000.0,1,30000.0,1,0
633.0,352000.0,2,440000.0,2,0
634.5,184000.0,2,230000.0,2,0
636.0,160000.0,1,200000.0,1,1
637.5,392000.0,2,490000.0,2,0
639.0,64000.0,2,80000.0,2,0
640.5,16000.0,2,20000.0,2,1
642.0,136000.0,2,170000.0,2,1
643.5,56000.0,1,70000.0,1,0
645.0,168000.0,2,210000.0,2,0
646.5,72000.0,2,90000.0,2,0
648.0,312000.0,2,390000.0,2,1
649.5,88000.0,2,110000.0,2,0
651.0,464000.0,2,580000.0,2,0
652.5,288000.0,1,360000.0,1,0
654.0,216000.0,2,270000.0,2,1
655.5,48000.0,2,60000.0,2,0
657.0,88000.0,1,110000.0,1,0
658.5,40000.0,2,50000.0,2,0
660.0,64000.0,2,80000.0,2,1
661.5,40000.0,1,50000.0,1,0
663.0,80000.0,1,100000.0,1,0
664.5,24000.0,2,30000.0,2,0
666.0,160000.0,2,200000.0,2,0
667.5,192000.0,1,240000.0,1,1
669.0,176000.0,1,220000.0,1,0
670.5,128000.0,2,160000.0,2,0
672.0,144000.0,2,180000.0,2,0
673.5,160000.0,1,200000.0,1,0
675.0,112000.0,2,140000.0,2,0
676.5,304000.0,1,380000.0,1,1
678.0,480000.0,1,600000.0,1,1
679.5,208000.0,1,260000.0,1,0
681.0,160000.0,2,200000.0,2,0
682.5,64000.0,1,80000.0,1,0
684.0,32000.0,1,40000.0,1,0
685.5,104000.0,1,130000.0,1,0
687.0,40000.0,1,50000.0,1,0
688.5,184000.0,2,230000.0,2,0
690.0,56000.0,1,70000.0,1,1
691.5,144000.0,2,180000.0,2,0
693.0,64000.0,2,80000.0,2,0
694.5,232000.0,2,290000.0,2,0
696.0,184000.0,2,230000.0,2,0
697.5,136000.0,2,170000.0,2,0
699.0,184000.0,1,230000.0,1,1
700.5,176000.0,1,220000.0,1,1
702.0,184000.0,1,230000.0,1,0
703.5,400000.0,1,500000.0,1,0
705.0,72000.0,2,90000.0,2,0
706.5,312000.0,2,390000.0,2,1
708.0,320000.0,2,400000.0,2,0
709.5,144000.0,1,180000.0,1,0
711.0,48000.0,1,60000.0,1,0
712.5,96000.0,2,120000.0,2,0
714.0,48000.0,2,60000.0,2,0
715.5,40000.0,1,50000.0,1,0
717.0,56000.0,2,70000.0,2,0
718.5,400000.0,2,500000.0,2,0
720.0,160000.0,1,200000.0,1,0
721.5,200000.0,2,250000.0,2,0
723.0,112000.0,1,140000.0,1,1
724.5,56000.0,2,70000.0,2,0
726.0,72000.0,1,90000.0,1,0
727.5,80000.0,2,100000.0,2,0
729.0,152000.0,1,190000.0,1,0
730.5,184000.0,2,230000.0,2,0
732.0,256000.0,1,320000.0,1,0
733.5,176000.0,2,220000.0,2,1
735.0,208000.0,2,260000.0,2,0
736.5,72000.0,2,90000.0,2,0
738.0,24000.0,2,30000.0,2,0
739.5,208000.0,1,260000.0,1,0
741.0,136000.0,2,170000.0,2,0
742.5,64000.0,2,80000.0,2,1
744.0,40000.0,1,50000.0,1,0
745.5,160000.0,2,200000.0,2,0
747.0,16000.0,1,20000.0,1,0
748.5,200000.0,2,250000.0,2,0
750.0,16000.0,1,20000.0,1,0
751.5,24000.0,2,30000.0,2,0
753.0,72000.0,2,90000.0,2,0
754.5,184000.0,2,230000.0,2,0
756.0,104000.0,2,130000.0,2,1
757.5,24000.0,1,30000.0,1,0
759.0,128000.0,1,160000.0,1,0
760.5,400000.0,2,500000.0,2,0
762.0,144000.0,2,180000.0,2,0
763.5,64000.0,2,80000.0,2,0
765.0,96000.0,1,120000.0,1,0
766.5,104000.0,1,130000.0,1,0
768.0,96000.0,2,120000.0,2,1
769.5,288000.0,1,360000.0,1,0
771.0,40000.0,1,50000.0,1,1
772.5,16000.0,2,20000.0,2,0
774.0,80000.0,1,100000.0,1,0
775.5,56000.0,1,70000.0,1,0
777.0,40000.0,1,50000.0,1,0
778.5,8000.0,2,10000.0,2,0
780.0,232000.0,2,290000.0,2,0
781.5,24000.0,2,30000.0,2,0
783.0,328000.0,2,410000.0,2,0
784.5,288000.0,1,360000.0,1,1
786.0,112000.0,2,140000.0,2,1
787.5,168000.0,2,210000.0,2,0
789.0,176000.0,2,220000.0,2,0
790.5,16000.0,1,20000.0,1,0
792.0,496000.0,2,620000.0,2,1
793.5,288000.0,1,360000.0,1,0
795.0,16000.0,2,20000.0,2,0
796.5,40000.0,1,50000.0,1,0
798.0,40000.0,1,50000.0,1,0
799.5,8000.0,1,10000.0,1,1
801.0,80000.0,2,100000.0,2,1
802.5,40000.0,1,50000.0,1,0
804.0,48000.0,1,60000.0,1,0
805.5,352000.0,2,440000.0,2,0
807.0,96000.0,1,120000.0,1,0
808.5,40000.0,2,50000.0,2,0
810.0,88000.0,2,110000.0,2,0
811.5,160000.0,2,200000.0,2,0
813.0,120000.0,2,150000.0,2,0
814.5,24000.0,2,30000.0,2,1
816.0,80000.0,2,100000.0,2,0
817.5,288000.0,2,360000.0,2,0
819.0,312000.0,2,390000.0,2,0
820.5,176000.0,2,220000.0,2,1
822.0,128000.0,2,160000.0,2,0
823.5,184000.0,2,230000.0,2,0
825.0,96000.0,1,120000.0,1,0
826.5,80000.0,1,100000.0,1,1
828.0,152000.0,2,190000.0,2,1
829.5,40000.0,1,50000.0,1,1
831.0,192000.0,2,240000.0,2,0
832.5,32000.0,2,40000.0,2,0
834.0,504000.0,2,630000.0,2,0
835.5,128000.0,2,160000.0,2,0
837.0,88000.0,2,110000.0,2,0
838.5,16000.0,1,20000.0,1,0
840.0,168000.0,2,210000.0,2,0
841.5,216000.0,1,270000.0,1,0
843.0,288000.0,2,360000.0,2,0
844.5,48000.0,2,60000.0,2,0
846.0,288000.0,1,360000.0,1,0
847.5,312000.0,2,390000.0,2,0
849.0,200000.0,2,250000.0,2,0
850.5,72000.0,2,90000.0,2,1
852.0,288000.0,1,360000.0,1,0
853.5,40000.0,1,50000.0,1,0
855.0,216000.0,2,270000.0,2,0
856.5,160000.0,2,200000.0,2,0
858.0,40000.0,2,50000.0,2,0
859.5,280000.0,1,350000.0,1,0
861.0,128000.0,2,160000.0,2,1
862.5,64000.0,2,80000.0,2,0
864.0,232000.0,1,290000.0,1,1
865.5,216000.0,2,270000.0,2,0
867.0,64000.0,1,80000.0,1,0
868.5,40000.0,1,50000.0,1,0
870.0,24000.0,1,30000.0,1,0
871.5,24000.0,1,30000.0,1,1
873.0,72000.0,1,90000.0,1,0
874.5,128000.0,1,160000.0,1,0
876.0,64000.0,2,80000.0,2,0
877.5,40000.0,1,50000.0,1,0
879.0,16000.0,2,20000.0,2,0
880.5,176000.0,1,220000.0,1,1
882.0,168000.0,1,210000.0,1,1
883.5,104000.0,2,130000.0,2,0
885.0,208000.0,2,260000.0,2,0
886.5,184000.0,2,230000.0,2,0
888.0,128000.0,1,160000.0,1,0
889.5,40000.0,1,50000.0,1,0
891.0,64000.0,1,80000.0,1,0
892.5,88000.0,1,110000.0,1,0
894.0,160000.0,1,200000.0,1,0
895.5,288000.0,1,360000.0,1,0
897.0,168000.0,2,210000.0,2,0
898.5,64000.0,2,80000.0,2,0
900.0,240000.0,2,300000.0,2,1
901.5,248000.0,2,310000.0,2,0
903.0,24000.0,1,30000.0,1,1
904.5,136000.0,1,170000.0,1,0
906.0,112000.0,2,140000.0,2,0
907.5,144000.0,2,180000.0,2,0
909.0,40000.0,1,50000.0,1,0
910.5,40000.0,2,50000.0,2,0
912.0,88000.0,2,110000.0,2,0
913.5,360000.0,2,450000.0,2,0
915.0,160000.0,2,200000.0,2,0
916.5,176000.0,1,220000.0,1,0
918.0,288000.0,2,360000.0,2,1
919.5,40000.0,1,50000.0,1,0
921.0,32000.0,1,40000.0,1,0
922.5,152000.0,2,190000.0,2,0
924.0,120000.0,1,150000.0,1,0
925.5,160000.0,2,200000.0,2,0
927.0,216000.0,2,270000.0,2,0
928.5,48000.0,1,60000.0,1,0
930.0,160000.0,2,200000.0,2,0
931.5,120000.0,2,150000.0,2,0
933.0,144000.0,2,180000.0,2,0
934.5,72000.0,2,90000.0,2,0
936.0,288000.0,2,360000.0,2,0
937.5,72000.0,2,90000.0,2,0
939.0,16000.0,2,20000.0,2,0
940.5,56000.0,1,70000.0,1,0
942.0,184000.0,1,230000.0,1,0
943.5,24000.0,1,30000.0,1,0
945.0,160000.0,2,200000.0,2,0
946.5,80000.0,1,100000.0,1,0
948.0,40000.0,2,50000.0,2,0
949.5,16000.0,2,20000.0,2,0
951.0,168000.0,2,210000.0,2,0
952.5,88000.0,1,110000.0,1,0
954.0,16000.0,2,20000.0,2,0
955.5,40000.0,2,50000.0,2,0
957.0,40000.0,1,50000.0,1,0
958.5,320000.0,2,400000.0,2,0
960.0,136000.0,1,170000.0,1,0
961.5,224000.0,1,280000.0,1,0
963.0,104000.0,2,130000.0,2,0
964.5,168000.0,2,210000.0,2,0
966.0,296000.0,1,370000.0,1,0
967.5,24000.0,2,30000.0,2,0
969.0,120000.0,1,150000.0,1,0
970.5,48000.0,1,60000.0,1,1
972.0,64000.0,2,80000.0,2,0
973.5,224000.0,2,280000.0,2,1
975.0,16000.0,2,20000.0,2,0
976.5,216000.0,1,270000.0,1,0
978.0,192000.0,2,240000.0,2,0
979.5,16000.0,2,20000.0,2,0
981.0,360000.0,2,450000.0,2,1
982.5,8000.0,1,10000.0,1,0
984.0,224000.0,1,280000.0,1,1
985.5,232000.0,2,290000.0,2,0
987.0,152000.0,2,190000.0,2,1
988.5,64000.0,2,80000.0,2,0
990.0,224000.0,2,280000.0,2,0
991.5,128000.0,2,160000.0,2,0
993.0,72000.0,1,90000.0,1,1
994.5,112000.0,2,140000.0,2,0
996.0,40000.0,1,50000.0,1,0
997.5,32000.0,2,40000.0,2,0
999.0,104000.0,2,130000.0,2,0
1000.5,56000.0,2,70000.0,2,0
1002.0,24000.0,2,30000.0,2,0
1003.5,80000.0,2,100000.0,2,0
1005.0,16000.0,2,20000.0,2,1
1006.5,24000.0,2,30000.0,2,0
1008.0,16000.0,1,20000.0,1,1
1009.5,80000.0,2,100000.0,2,1
1011.0,24000.0,1,30000.0,1,1
1012.5,256000.0,2,320000.0,2,0
1014.0,72000.0,1,90000.0,1,1
1015.5,152000.0,1,190000.0,1,1
1017.0,160000.0,1,200000.0,1,0
1018.5,240000.0,2,300000.0,2,0
1020.0,24000.0,2,30000.0,2,0
1021.5,88000.0,2,110000.0,2,0
1023.0,184000.0,2,230000.0,2,0
1024.5,184000.0,2,230000.0,2,0
1026.0,248000.0,2,310000.0,2,0
1027.5,256000.0,1,320000.0,1,0
1029.0,288000.0,1,360000.0,1,0
1030.5,16000.0,2,20000.0,2,1
1032.0,136000.0,2,170000.0,2,0
1033.5,112000.0,1,140000.0,1,0
1035.0,64000.0,1,80000.0,1,0
1036.5,120000.0,1,150000.0,1,0
1038.0,136000.0,1,170000.0,1,0
1039.5,160000.0,2,200000.0,2,1
1041.0,56000.0,1,70000.0,1,0
